chrom,chromStart,chromEnd,name,score,strand,thickStart,thickEnd,itemRgb,blockCount,blockstart,blockSizes,blockStarts,blackend,start,end,Intron,severity
24943ref,1127,1456,JUNC00000026,35,-,1127,1456,255;0;0,2,148,146,0,183,1275,1310,35,1
24943ref,6071,6257,JUNC00000072,2,-,6071,6257,255;0;0,2,110,41,0,145,6181,6216,35,1
24943ref,7911,8243,JUNC00000092,8,-,7911,8243,255;0;0,2,150,149,0,183,8061,8094,33,1
24943ref,2885,3214,JUNC00000040,3,+,2885,3214,255;0;0,2,148,150,0,179,3033,3064,31,1
24943ref,979,1308,JUNC00000021,52,-,979,1308,255;0;0,2,149,150,0,179,1128,1158,30,1
24943ref,4183,4511,JUNC00000049,34,+,4183,4511,255;0;0,2,148,150,0,178,4331,4361,30,1
24943ref,4238,4531,JUNC00000050,74,-,4238,4531,255;0;0,2,114,149,0,144,4352,4382,30,1
24943ref,5495,5776,JUNC00000062,40,-,5495,5776,255;0;0,2,109,143,0,138,5604,5633,29,1
24943ref,8259,8587,JUNC00000096,1829,+,8259,8587,255;0;0,2,150,149,0,179,8409,8438,29,1
24943ref,3232,3433,JUNC00000042,83,-,3232,3433,255;0;0,2,25,149,0,52,3257,3284,27,1
24943ref,668,868,JUNC00000011,6,-,668,868,255;0;0,2,148,26,0,174,816,842,26,1
24943ref,962,1287,JUNC00000017,8,+,962,1287,255;0;0,2,149,150,0,175,1111,1137,26,1
24943ref,976,1191,JUNC00000018,7,+,976,1191,255;0;0,2,146,44,0,171,1122,1147,25,1
24943ref,1835,2151,JUNC00000034,13,-,1835,2151,255;0;0,2,146,145,0,171,1981,2006,25,1
24943ref,1205,1527,JUNC00000028,15,+,1205,1527,255;0;0,2,148,150,0,172,1353,1377,24,1
24943ref,2669,2988,JUNC00000038,6,-,2669,2988,255;0;0,2,147,148,0,171,2816,2840,24,1
24943ref,3803,4043,JUNC00000045,215,+,3803,4043,255;0;0,2,67,149,0,91,3870,3894,24,1
24943ref,7785,7973,JUNC00000086,82,-,7785,7973,255;0;0,2,21,146,0,42,7806,7827,21,1
24943ref,978,1295,JUNC00000020,42,+,978,1295,255;0;0,2,149,148,0,169,1127,1147,20,1
24943ref,7661,7969,JUNC00000085,39,+,7661,7969,255;0;0,2,139,149,0,159,7800,7820,20,1
24943ref,2240,2556,JUNC00000036,26,+,2240,2556,255;0;0,2,148,149,0,167,2388,2407,19,1
24943ref,5796,5989,JUNC00000065,4,-,5796,5989,255;0;0,2,24,150,0,43,5820,5839,19,1
24943ref,634,821,JUNC00000006,41,+,634,821,255;0;0,2,22,147,0,40,656,674,18,1
24943ref,4690,4933,JUNC00000055,2119,+,4690,4933,255;0;0,2,75,150,0,93,4765,4783,18,1
24943ref,7311,7626,JUNC00000080,3,-,7311,7626,255;0;0,2,149,148,0,167,7460,7478,18,1
24943ref,7946,8242,JUNC00000093,2,+,7946,8242,255;0;0,2,131,148,0,148,8077,8094,17,1
24943ref,7963,8279,JUNC00000094,80,-,7963,8279,255;0;0,2,149,150,0,166,8112,8129,17,1
24943ref,7709,7898,JUNC00000089,2,+,7709,7898,255;0;0,2,148,25,0,164,7857,7873,16,1
24943ref,3735,3915,JUNC00000044,4,-,3735,3915,255;0;0,2,119,46,0,134,3854,3869,15,1
24943ref,4107,4418,JUNC00000047,28,+,4107,4418,255;0;0,2,150,147,0,164,4257,4271,14,1
24943ref,3023,3336,JUNC00000041,307,-,3023,3336,255;0;0,2,150,150,0,163,3173,3186,13,1
24943ref,8765,9076,JUNC00000099,553,+,8765,9076,255;0;0,2,150,148,0,163,8915,8928,13,1
24943ref,331,642,JUNC00000002,20,+,331,642,255;0;0,2,150,150,0,161,481,492,11,1
24943ref,701,871,JUNC00000008,151,+,701,871,255;0;0,2,9,150,0,20,710,721,11,1
24943ref,920,1229,JUNC00000015,2,-,920,1229,255;0;0,2,148,150,0,159,1068,1079,11,1
24943ref,7117,7427,JUNC00000077,836,+,7117,7427,255;0;0,2,150,150,0,160,7267,7277,10,1
24943ref,304,610,JUNC00000001,33,+,304,610,255;0;0,2,150,147,0,159,454,463,9,1
24943ref,3229,3389,JUNC00000043,1,+,3229,3389,255;0;0,2,133,18,0,142,3362,3371,9,1
24943ref,5248,5556,JUNC00000059,261,+,5248,5556,255;0;0,2,150,149,0,159,5398,5407,9,1
24943ref,1003,1307,JUNC00000022,51,-,1003,1307,255;0;0,2,147,149,0,155,1150,1158,8,1
24943ref,1601,1908,JUNC00000030,449,+,1601,1908,255;0;0,2,150,149,0,158,1751,1759,8,1
24943ref,824,1126,JUNC00000013,42,+,824,1126,255;0;0,2,145,150,0,152,969,976,7,1
24943ref,1289,1517,JUNC00000029,6,-,1289,1517,255;0;0,2,149,72,0,156,1438,1445,7,1
24943ref,7709,8014,JUNC00000088,7,+,7709,8014,255;0;0,2,148,150,0,155,7857,7864,7,1
24943ref,7718,7910,JUNC00000090,36,+,7718,7910,255;0;0,2,148,37,0,155,7866,7873,7,1
24943ref,713,1014,JUNC00000012,67,-,713,1014,255;0;0,2,147,148,0,153,860,866,6,1
24943ref,4233,4530,JUNC00000051,542,-,4233,4530,255;0;0,2,149,142,0,155,4382,4388,6,1
24943ref,5728,6031,JUNC00000068,10,+,5728,6031,255;0;0,2,150,147,0,156,5878,5884,6,1
24943ref,6855,7161,JUNC00000076,1822,-,6855,7161,255;0;0,2,150,150,0,156,7005,7011,6,1
24943ref,8952,9257,JUNC00000102,23,-,8952,9257,255;0;0,2,150,149,0,156,9102,9108,6,1
24943ref,5955,6133,JUNC00000071,35,+,5955,6133,255;0;0,2,150,23,0,155,6105,6110,5,1
24943ref,7423,7605,JUNC00000082,12,-,7423,7605,255;0;0,2,150,27,0,155,7573,7578,5,1
24943ref,7725,8027,JUNC00000091,33,-,7725,8027,255;0;0,2,150,147,0,155,7875,7880,5,1
24943ref,8799,9078,JUNC00000100,2139,+,8799,9078,255;0;0,2,124,150,0,129,8923,8928,5,1
24943ref,9477,9782,JUNC00000105,744,+,9477,9782,255;0;0,2,150,150,0,155,9627,9632,5,1
21909ref,974,10341,JUNC00000064,42,+,974,10341,255;0;0,2,148,50,0,9317,1122,10291,9169,1
21909ref,975,10399,JUNC00000063,160,+,975,10399,255;0;0,2,147,145,0,9279,1122,10254,9132,1
21909ref,976,10285,JUNC00000062,145,+,976,10285,255;0;0,2,146,93,0,9216,1122,10192,9070,1
21909ref,551,9780,JUNC00000011,276,+,551,9780,255;0;0,2,87,148,0,9081,638,9632,8994,1
21909ref,176,9078,JUNC00000002,3,+,176,9078,255;0;0,2,148,101,0,8801,324,8977,8653,1
21909ref,1219,10132,JUNC00000080,103,-,1219,10132,255;0;0,2,148,149,0,8764,1367,9983,8616,1
21909ref,973,9804,JUNC00000061,133,+,973,9804,255;0;0,2,149,140,0,8691,1122,9664,8542,1
21909ref,258,9078,JUNC00000003,734,+,258,9078,255;0;0,2,150,150,0,8670,408,8928,8520,1
21909ref,1061,9751,JUNC00000075,4,+,1061,9751,255;0;0,2,149,144,0,8546,1210,9607,8397,1
21909ref,1077,9766,JUNC00000076,67,+,1077,9766,255;0;0,2,144,148,0,8541,1221,9618,8397,1
21909ref,1936,10414,JUNC00000091,1,+,1936,10414,255;0;0,2,45,106,0,8372,1981,10308,8327,1
21909ref,459,8901,JUNC00000007,27,-,459,8901,255;0;0,2,45,148,0,8294,504,8753,8249,1
21909ref,379,8921,JUNC00000008,43,+,379,8921,255;0;0,2,147,146,0,8396,526,8775,8249,1
21909ref,973,9127,JUNC00000060,19,+,973,9127,255;0;0,2,149,55,0,8099,1122,9072,7950,1
21909ref,1305,9266,JUNC00000079,1,-,1305,9266,255;0;0,2,58,93,0,7868,1363,9173,7810,1
21909ref,1846,9385,JUNC00000093,3,+,1846,9385,255;0;0,2,149,71,0,7468,1995,9314,7319,1
21909ref,999,8176,JUNC00000072,65,+,999,8176,255;0;0,2,149,82,0,7095,1148,8094,6946,1
21909ref,1002,8179,JUNC00000074,39,-,1002,8179,255;0;0,2,148,83,0,7094,1150,8096,6946,1
21909ref,979,8037,JUNC00000069,19,+,979,8037,255;0;0,2,148,149,0,6909,1127,7888,6761,1
21909ref,980,7733,JUNC00000030,43,+,980,7733,255;0;0,2,16,148,0,6605,996,7585,6589,1
21909ref,973,7857,JUNC00000059,92,+,973,7857,255;0;0,2,149,146,0,6738,1122,7711,6589,1
21909ref,2436,9170,JUNC00000106,1,+,2436,9170,255;0;0,2,129,22,0,6712,2565,9148,6583,1
21909ref,2433,9141,JUNC00000108,3,+,2433,9141,255;0;0,2,145,26,0,6682,2578,9115,6537,1
21909ref,866,7695,JUNC00000035,10,+,866,7695,255;0;0,2,149,144,0,6685,1015,7551,6536,1
21909ref,2417,9237,JUNC00000105,12,+,2417,9237,255;0;0,2,148,137,0,6683,2565,9100,6535,1
21909ref,2561,9269,JUNC00000117,133,+,2561,9269,255;0;0,2,136,72,0,6636,2697,9197,6500,1
21909ref,949,7726,JUNC00000043,578,-,949,7726,255;0;0,2,150,148,0,6629,1099,7578,6479,1
21909ref,934,7655,JUNC00000040,10,+,934,7655,255;0;0,2,149,147,0,6574,1083,7508,6425,1
21909ref,977,7616,JUNC00000068,99,+,977,7616,255;0;0,2,150,68,0,6571,1127,7548,6421,1
21909ref,3024,9504,JUNC00000132,22,+,3024,9504,255;0;0,2,149,8,0,6472,3173,9496,6323,1
21909ref,1163,7674,JUNC00000078,13,+,1163,7674,255;0;0,2,145,123,0,6388,1308,7551,6243,1
21909ref,933,7312,JUNC00000039,23,+,933,7312,255;0;0,2,150,21,0,6358,1083,7291,6208,1
21909ref,963,7435,JUNC00000047,4,+,963,7435,255;0;0,2,148,148,0,6324,1111,7287,6176,1
21909ref,2947,9278,JUNC00000130,6,+,2947,9278,255;0;0,2,148,148,0,6183,3095,9130,6035,1
21909ref,1275,7532,JUNC00000082,5,+,1275,7532,255;0;0,2,144,150,0,6107,1419,7382,5963,1
21909ref,679,6579,JUNC00000013,6,+,679,6579,255;0;0,2,44,147,0,5753,723,6432,5709,1
21909ref,4488,10264,JUNC00000153,28,-,4488,10264,255;0;0,2,67,122,0,5654,4555,10142,5587,1
21909ref,4618,9988,JUNC00000155,11,+,4618,9988,255;0;0,2,37,27,0,5343,4655,9961,5306,1
21909ref,2072,7567,JUNC00000096,3,+,2072,7567,255;0;0,2,147,59,0,5436,2219,7508,5289,1
21909ref,4892,10291,JUNC00000164,1,+,4892,10291,255;0;0,2,142,8,0,5391,5034,10283,5249,1
21909ref,5001,10384,JUNC00000166,9,+,5001,10384,255;0;0,2,141,76,0,5307,5142,10308,5166,1
21909ref,972,6402,JUNC00000058,34,+,972,6402,255;0;0,2,150,146,0,5284,1122,6256,5134,1
21909ref,973,6142,JUNC00000057,62,+,973,6142,255;0;0,2,149,42,0,5127,1122,6100,4978,1
21909ref,3940,9158,JUNC00000142,10,+,3940,9158,255;0;0,2,149,148,0,5070,4089,9010,4921,1
21909ref,3945,9162,JUNC00000143,4,+,3945,9162,255;0;0,2,147,149,0,5068,4092,9013,4921,1
21909ref,975,6042,JUNC00000056,307,+,975,6042,255;0;0,2,147,146,0,4921,1122,5896,4774,1
21909ref,3957,9020,JUNC00000144,12,-,3957,9020,255;0;0,2,150,143,0,4920,4107,8877,4770,1
21909ref,4579,9642,JUNC00000159,20,+,4579,9642,255;0;0,2,149,146,0,4917,4728,9496,4768,1
21909ref,2678,7700,JUNC00000124,16,+,2678,7700,255;0;0,2,149,149,0,4873,2827,7551,4724,1
21909ref,1643,6606,JUNC00000085,217,+,1643,6606,255;0;0,2,150,143,0,4820,1793,6463,4670,1
21909ref,861,5775,JUNC00000033,124,+,861,5775,255;0;0,2,141,144,0,4770,1002,5631,4629,1
21909ref,976,5719,JUNC00000055,63,+,976,5719,255;0;0,2,146,132,0,4611,1122,5587,4465,1
21909ref,5991,10262,JUNC00000175,1,-,5991,10262,255;0;0,2,31,120,0,4151,6022,10142,4120,1
21909ref,6025,10263,JUNC00000178,8,+,6025,10263,255;0;0,2,146,9,0,4229,6171,10254,4083,1
21909ref,3332,7554,JUNC00000137,63,+,3332,7554,255;0;0,2,149,26,0,4196,3481,7528,4047,1
21909ref,6129,10255,JUNC00000184,3,-,6129,10255,255;0;0,2,107,92,0,4034,6236,10163,3927,1
21909ref,769,4829,JUNC00000016,12,-,769,4829,255;0;0,2,42,109,0,3951,811,4720,3909,1
21909ref,308,4467,JUNC00000006,8,+,308,4467,255;0;0,2,146,144,0,4015,454,4323,3869,1
21909ref,1924,6009,JUNC00000095,314,+,1924,6009,255;0;0,2,110,122,0,3963,2034,5887,3853,1
21909ref,6137,10132,JUNC00000179,56,+,6137,10132,255;0;0,2,44,141,0,3854,6181,9991,3810,1
21909ref,2399,6344,JUNC00000099,1,-,2399,6344,255;0;0,2,41,108,0,3837,2440,6236,3796,1
21909ref,2431,6193,JUNC00000112,3,+,2431,6193,255;0;0,2,149,77,0,3685,2580,6116,3536,1
21909ref,6107,9901,JUNC00000186,93,-,6107,9901,255;0;0,2,148,150,0,3644,6255,9751,3496,1
21909ref,768,4409,JUNC00000022,20,-,768,4409,255;0;0,2,148,148,0,3493,916,4261,3345,1
21909ref,977,4422,JUNC00000067,55,+,977,4422,255;0;0,2,150,23,0,3422,1127,4399,3272,1
21909ref,1042,4476,JUNC00000042,9,+,1042,4476,255;0;0,2,53,149,0,3285,1095,4327,3232,1
21909ref,2661,6063,JUNC00000121,43,+,2661,6063,255;0;0,2,145,51,0,3351,2806,6012,3206,1
21909ref,2669,6083,JUNC00000123,65,-,2669,6083,255;0;0,2,147,61,0,3353,2816,6022,3206,1
21909ref,1075,4268,JUNC00000077,31,+,1075,4268,255;0;0,2,149,49,0,3144,1224,4219,2995,1
21909ref,6060,9294,JUNC00000181,10,+,6060,9294,255;0;0,2,146,149,0,3085,6206,9145,2939,1
21909ref,2696,5917,JUNC00000127,19,+,2696,5917,255;0;0,2,150,148,0,3073,2846,5769,2923,1
21909ref,4578,7574,JUNC00000156,83,-,4578,7574,255;0;0,2,96,147,0,2849,4674,7427,2753,1
21909ref,3327,6203,JUNC00000135,19,+,3327,6203,255;0;0,2,67,146,0,2730,3394,6057,2663,1
21909ref,3284,6111,JUNC00000136,24,-,3284,6111,255;0;0,2,148,21,0,2806,3432,6090,2658,1
21909ref,975,3827,JUNC00000054,181,+,975,3827,255;0;0,2,147,145,0,2707,1122,3682,2560,1
21909ref,2479,4958,JUNC00000111,1,+,2479,4958,255;0;0,2,101,50,0,2429,2580,4908,2328,1
21909ref,2696,5310,JUNC00000126,2,+,2696,5310,255;0;0,2,145,146,0,2468,2841,5164,2323,1
21909ref,973,3445,JUNC00000053,110,+,973,3445,255;0;0,2,149,141,0,2331,1122,3304,2182,1
21909ref,2885,5313,JUNC00000129,246,+,2885,5313,255;0;0,2,148,149,0,2279,3033,5164,2131,1
21909ref,970,3068,JUNC00000049,10,+,970,3068,255;0;0,2,146,149,0,1949,1116,2919,1803,1
21909ref,2503,4471,JUNC00000107,3,+,2503,4471,255;0;0,2,75,148,0,1820,2578,4323,1745,1
21909ref,977,2886,JUNC00000066,62,+,977,2886,255;0;0,2,150,41,0,1868,1127,2845,1718,1
21909ref,4364,6202,JUNC00000150,263,+,4364,6202,255;0;0,2,129,21,0,1817,4493,6181,1688,1
21909ref,5752,7733,JUNC00000174,15,+,5752,7733,255;0;0,2,149,148,0,1833,5901,7585,1684,1
21909ref,5613,7532,JUNC00000171,147,+,5613,7532,255;0;0,2,144,147,0,1772,5757,7385,1628,1
21909ref,973,2851,JUNC00000052,135,+,973,2851,255;0;0,2,149,147,0,1731,1122,2704,1582,1
21909ref,4418,6209,JUNC00000154,18,+,4418,6209,255;0;0,2,148,143,0,1648,4566,6066,1500,1
21909ref,7938,9650,JUNC00000212,249,+,7938,9650,255;0;0,2,69,146,0,1566,8007,9504,1497,1
21909ref,4581,6123,JUNC00000158,17,+,4581,6123,255;0;0,2,147,23,0,1519,4728,6100,1372,1
21909ref,6055,7657,JUNC00000180,12,+,6055,7657,255;0;0,2,148,106,0,1496,6203,7551,1348,1
21909ref,6088,7698,JUNC00000183,5,-,6088,7698,255;0;0,2,148,147,0,1463,6236,7551,1315,1
21909ref,969,2543,JUNC00000046,30,+,969,2543,255;0;0,2,142,150,0,1424,1111,2393,1282,1
21909ref,7406,8923,JUNC00000196,35,+,7406,8923,255;0;0,2,148,100,0,1417,7554,8823,1269,1
21909ref,6253,7662,JUNC00000187,4,+,6253,7662,255;0;0,2,49,150,0,1259,6302,7512,1210,1
21909ref,5669,6858,JUNC00000170,2,-,5669,6858,255;0;0,2,64,75,0,1114,5733,6783,1050,1
21909ref,9179,10361,JUNC00000233,3,+,9179,10361,255;0;0,2,149,70,0,1112,9328,10291,963,1
21909ref,1005,1935,JUNC00000071,8,+,1005,1935,255;0;0,2,143,50,0,880,1148,1885,737,1
21909ref,695,1606,JUNC00000015,263,-,695,1606,255;0;0,2,90,100,0,811,785,1506,721,1
21909ref,304,1099,JUNC00000005,3891,+,304,1099,255;0;0,2,150,15,0,780,454,1084,630,1
21909ref,2741,3481,JUNC00000118,62,+,2741,3481,255;0;0,2,30,141,0,599,2771,3340,569,1
21909ref,4984,5741,JUNC00000165,159,+,4984,5741,255;0;0,2,80,110,0,647,5064,5631,567,1
21909ref,306,967,JUNC00000004,9,+,306,967,255;0;0,2,148,18,0,643,454,949,495,1
21909ref,5019,5641,JUNC00000167,3,+,5019,5641,255;0;0,2,145,18,0,604,5164,5623,459,1
21909ref,974,1694,JUNC00000051,177,+,974,1694,255;0;0,2,148,146,0,574,1122,1548,426,1
21909ref,9515,10124,JUNC00000237,897,+,9515,10124,255;0;0,2,124,77,0,532,9639,10047,408,1
21909ref,9057,9758,JUNC00000231,6,-,9057,9758,255;0;0,2,149,150,0,551,9206,9608,402,1
21909ref,4531,5201,JUNC00000157,40,+,4531,5201,255;0;0,2,150,149,0,521,4681,5052,371,1
21909ref,174,808,JUNC00000001,266,+,174,808,255;0;0,2,150,117,0,517,324,691,367,1
21909ref,5774,6280,JUNC00000172,11,+,5774,6280,255;0;0,2,10,143,0,363,5784,6137,353,1
21909ref,8478,9109,JUNC00000220,4,+,8478,9109,255;0;0,2,150,148,0,483,8628,8961,333,1
21909ref,878,1453,JUNC00000034,67,+,878,1453,255;0;0,2,137,145,0,430,1015,1308,293,1
21909ref,3558,4122,JUNC00000138,9,+,3558,4122,255;0;0,2,132,148,0,416,3690,3974,284,1
21909ref,7551,8006,JUNC00000205,34,+,7551,8006,255;0;0,2,150,33,0,422,7701,7973,272,1
21909ref,2433,2989,JUNC00000110,8,+,2433,2989,255;0;0,2,147,149,0,407,2580,2840,260,1
21909ref,2784,3184,JUNC00000125,3,+,2784,3184,255;0;0,2,46,105,0,295,2830,3079,249,1
21909ref,8928,9377,JUNC00000226,17,+,8928,9377,255;0;0,2,69,147,0,302,8997,9230,233,1
21909ref,8652,9031,JUNC00000221,1,+,8652,9031,255;0;0,2,22,129,0,250,8674,8902,228,1
21909ref,4325,4731,JUNC00000148,18,-,4325,4731,255;0;0,2,50,150,0,256,4375,4581,206,1
21909ref,2497,2979,JUNC00000116,5,-,2497,2979,255;0;0,2,146,147,0,335,2643,2832,189,1
21909ref,7551,7891,JUNC00000204,28,+,7551,7891,255;0;0,2,148,18,0,322,7699,7873,174,1
21909ref,8358,8677,JUNC00000217,1,+,8358,8677,255;0;0,2,80,71,0,248,8438,8606,168,1
21909ref,7405,7837,JUNC00000195,56,+,7405,7837,255;0;0,2,149,117,0,315,7554,7720,166,1
21909ref,8771,9233,JUNC00000224,1507,+,8771,9233,255;0;0,2,150,150,0,312,8921,9083,162,1
21909ref,379,735,JUNC00000009,11,+,379,735,255;0;0,2,149,47,0,309,528,688,160,1
21909ref,3702,4015,JUNC00000140,7,+,3702,4015,255;0;0,2,148,29,0,284,3850,3986,136,1
21909ref,4400,4682,JUNC00000152,2,-,4400,4682,255;0;0,2,139,8,0,274,4539,4674,135,1
21909ref,2698,3067,JUNC00000128,21,+,2698,3067,255;0;0,2,150,87,0,282,2848,2980,132,1
21909ref,7820,8073,JUNC00000210,3,+,7820,8073,255;0;0,2,96,29,0,224,7916,8044,128,1
21909ref,7628,8037,JUNC00000207,64,-,7628,8037,255;0;0,2,148,146,0,263,7776,7891,115,1
21909ref,4168,4562,JUNC00000145,14,-,4168,4562,255;0;0,2,132,148,0,246,4300,4414,114,1
21909ref,4176,4568,JUNC00000146,237,+,4176,4568,255;0;0,2,147,133,0,259,4323,4435,112,1
21909ref,7794,8192,JUNC00000211,4,+,7794,8192,255;0;0,2,148,148,0,250,7942,8044,102,1
21909ref,1409,1706,JUNC00000083,95,+,1409,1706,255;0;0,2,56,141,0,156,1465,1565,100,1
21909ref,1518,1912,JUNC00000084,36,+,1518,1912,255;0;0,2,148,148,0,246,1666,1764,98,1
21909ref,2390,2776,JUNC00000103,11,-,2390,2776,255;0;0,2,146,147,0,239,2536,2629,93,1
21909ref,2394,2781,JUNC00000104,143,-,2394,2781,255;0;0,2,150,145,0,242,2544,2636,92,1
21909ref,2329,2612,JUNC00000098,11,-,2329,2612,255;0;0,2,44,148,0,135,2373,2464,91,1
21909ref,6681,6964,JUNC00000190,4,-,6681,6964,255;0;0,2,44,149,0,134,6725,6815,90,1
21909ref,977,1237,JUNC00000032,14,+,977,1237,255;0;0,2,25,147,0,113,1002,1090,88,1
21909ref,1818,2026,JUNC00000087,3,-,1818,2026,255;0;0,2,8,114,0,94,1826,1912,86,1
21909ref,452,829,JUNC00000010,4,-,452,829,255;0;0,2,146,146,0,231,598,683,85,1
21909ref,9029,9267,JUNC00000230,5,+,9029,9267,255;0;0,2,150,8,0,230,9179,9259,80,1
21909ref,7712,7967,JUNC00000206,100,+,7712,7967,255;0;0,2,29,147,0,108,7741,7820,79,1
21909ref,672,1040,JUNC00000017,19,+,672,1040,255;0;0,2,144,148,0,220,816,892,76,1
21909ref,1669,2032,JUNC00000086,8,-,1669,2032,255;0;0,2,146,147,0,216,1815,1885,70,1
21909ref,7260,7624,JUNC00000192,11,-,7260,7624,255;0;0,2,149,146,0,218,7409,7478,69,1
