pvalue,features
5.919593563053553e-18,DVG_10265_10272
5.919593563053553e-18,DVG_10268_10274
3.7673136979172244e-17,DVG_10268_10276
2.389022017017272e-17,DVG_1026_1047
5.919593563053553e-18,DVG_1026_1057
5.919593563053553e-18,DVG_1026_3236
3.483905407316551e-17,DVG_1026_7585
1.28428781552116e-17,DVG_10275_10288
5.919593563053553e-18,DVG_10283_10293
5.3470321297799647e-17,DVG_10286_10293
5.919593563053553e-18,DVG_10303_10308
2.2599616582520533e-17,DVG_10308_10381
2.0582902272640723e-17,DVG_10345_10419
5.919593563053553e-18,DVG_10345_10431
5.919593563053553e-18,DVG_10381_10457
1.64581694568675e-17,DVG_1038_1081
5.919593563053553e-18,DVG_1038_1084
5.919593563053553e-18,DVG_1038_1122
5.919593563053553e-18,DVG_1038_1499
5.919593563053553e-18,DVG_1038_2488
5.919593563053553e-18,DVG_1038_2613
5.919593563053553e-18,DVG_1038_2800
5.919593563053553e-18,DVG_1038_3774
5.919593563053553e-18,DVG_1045_1055
5.919593563053553e-18,DVG_1045_1139
5.919593563053553e-18,DVG_1045_2517
5.919593563053553e-18,DVG_1045_7753
1.28428781552116e-17,DVG_10501_10588
8.6106656265463e-18,DVG_1055_1079
5.919593563053553e-18,DVG_1055_1230
5.919593563053553e-18,DVG_1055_1844
2.0582902272640723e-17,DVG_1055_2150
5.919593563053553e-18,DVG_1055_2393
5.919593563053553e-18,DVG_1055_2527
5.919593563053553e-18,DVG_1055_2919
5.919593563053553e-18,DVG_1055_4620
5.919593563053553e-18,DVG_1055_4878
5.919593563053553e-18,DVG_1055_6971
5.919593563053553e-18,DVG_1055_7089
1.1389124772261905e-17,DVG_1055_7560
5.919593563053553e-18,DVG_1055_7581
5.919593563053553e-18,DVG_1055_8361
5.919593563053553e-18,DVG_1055_8928
5.919593563053553e-18,DVG_1055_9237
5.919593563053553e-18,DVG_1055_9646
5.919593563053553e-18,DVG_1060_1079
5.919593563053553e-18,DVG_1060_1813
5.919593563053553e-18,DVG_1060_2652
5.919593563053553e-18,DVG_1060_7494
5.919593563053553e-18,DVG_1060_7551
5.919593563053553e-18,DVG_1060_7581
1.7786384946972473e-17,DVG_1068_1079
5.919593563053553e-18,DVG_1068_1085
5.919593563053553e-18,DVG_1068_1090
5.919593563053553e-18,DVG_1068_1795
5.919593563053553e-18,DVG_1068_5097
2.2599616582520533e-17,DVG_1068_5166
5.919593563053553e-18,DVG_1068_5447
5.919593563053553e-18,DVG_1068_6090
5.919593563053553e-18,DVG_1068_8510
5.919593563053553e-18,DVG_1068_8997
2.2160839619208514e-16,DVG_1071_1133
5.919593563053553e-18,DVG_1083_1122
5.919593563053553e-18,DVG_1083_1128
5.919593563053553e-18,DVG_1083_1606
5.919593563053553e-18,DVG_1083_1799
5.919593563053553e-18,DVG_1083_1815
5.919593563053553e-18,DVG_1083_2998
5.919593563053553e-18,DVG_1083_3796
5.919593563053553e-18,DVG_1083_4833
5.919593563053553e-18,DVG_1083_6167
5.919593563053553e-18,DVG_1083_6364
5.919593563053553e-18,DVG_1083_7291
5.919593563053553e-18,DVG_1083_7504
5.919593563053553e-18,DVG_1083_7508
5.919593563053553e-18,DVG_1083_7522
5.919593563053553e-18,DVG_1083_7873
5.919593563053553e-18,DVG_1083_9596
9.494745677331135e-17,DVG_1095_1110
5.919593563053553e-18,DVG_1095_1122
5.423122346158438e-14,DVG_1095_1128
5.919593563053553e-18,DVG_1095_1402
5.919593563053553e-18,DVG_1095_2351
5.919593563053553e-18,DVG_1095_2613
5.919593563053553e-18,DVG_1095_3032
5.919593563053553e-18,DVG_1095_3715
5.919593563053553e-18,DVG_1095_4219
5.919593563053553e-18,DVG_1095_4327
5.919593563053553e-18,DVG_1095_4740
5.919593563053553e-18,DVG_1095_5902
5.919593563053553e-18,DVG_1095_6604
5.919593563053553e-18,DVG_1095_8316
5.919593563053553e-18,DVG_1095_9130
1.3601641004939141e-17,DVG_1099_1124
4.3118622461563985e-17,DVG_1099_1139
7.860410825727234e-17,DVG_1099_1142
5.823645326926894e-16,DVG_1099_1145
1.3408200365153198e-14,DVG_1099_1158
5.919593563053553e-18,DVG_1099_7578
6.459764423336913e-17,DVG_1101_1133
7.539374458076509e-09,DVG_1101_1158
5.919593563053553e-18,DVG_1101_1165
5.919593563053553e-18,DVG_1101_6126
5.919593563053553e-18,DVG_1101_9288
2.1806060861867786e-17,DVG_1109_1270
5.919593563053553e-18,DVG_1109_9040
2.391426796494086e-17,DVG_1109_9151
5.919593563053553e-18,DVG_1111_10215
4.175003162401581e-16,DVG_1111_1133
3.7514669105551124e-13,DVG_1111_1137
5.919593563053553e-18,DVG_1111_1142
4.649135995616043e-15,DVG_1111_1145
5.919593563053553e-18,DVG_1111_2147
1.1049883113802882e-17,DVG_1111_2393
5.919593563053553e-18,DVG_1111_3838
5.919593563053553e-18,DVG_1111_3961
5.919593563053553e-18,DVG_1111_4054
5.919593563053553e-18,DVG_1111_4057
5.919593563053553e-18,DVG_1111_4516
5.919593563053553e-18,DVG_1111_5857
5.919593563053553e-18,DVG_1111_7287
5.919593563053553e-18,DVG_1111_8394
1.8551673259116323e-15,DVG_1114_1120
5.4655922393205894e-14,DVG_1114_1122
7.242581023533007e-17,DVG_1114_1128
5.919593563053553e-18,DVG_1114_1147
5.919593563053553e-18,DVG_1114_1270
5.919593563053553e-18,DVG_1114_1377
5.919593563053553e-18,DVG_1114_2407
5.919593563053553e-18,DVG_1114_2544
2.0582902272640723e-17,DVG_1114_3386
5.919593563053553e-18,DVG_1114_6100
5.919593563053553e-18,DVG_1114_9088
2.3795036497086242e-17,DVG_1114_9511
6.848770657110555e-16,DVG_1116_1133
2.487096520908499e-16,DVG_1116_1137
6.293931915876772e-17,DVG_1116_1139
5.919593563053553e-18,DVG_1116_1165
5.919593563053553e-18,DVG_1116_2919
5.919593563053553e-18,DVG_1116_4288
5.919593563053553e-18,DVG_1116_4497
5.919593563053553e-18,DVG_1116_8928
5.919593563053553e-18,DVG_1122_10192
2.3924941903565245e-17,DVG_1122_10254
2.0728327241772446e-17,DVG_1122_10291
4.562321007095527e-12,DVG_1122_1128
1.632705107273825e-16,DVG_1122_1147
5.919593563053553e-18,DVG_1122_1168
6.987405565291626e-18,DVG_1122_1171
5.919593563053553e-18,DVG_1122_1232
5.919593563053553e-18,DVG_1122_1234
5.919593563053553e-18,DVG_1122_1377
5.919593563053553e-18,DVG_1122_1387
5.919593563053553e-18,DVG_1122_1548
5.919593563053553e-18,DVG_1122_2156
5.919593563053553e-18,DVG_1122_2704
5.919593563053553e-18,DVG_1122_2998
1.0107349683287497e-17,DVG_1122_3304
5.919593563053553e-18,DVG_1122_3682
4.7284658059683205e-17,DVG_1122_3974
5.919593563053553e-18,DVG_1122_3976
5.919593563053553e-18,DVG_1122_4323
5.919593563053553e-18,DVG_1122_4762
8.02242771445779e-18,DVG_1122_4765
5.919593563053553e-18,DVG_1122_5041
1.3639280204352142e-17,DVG_1122_5164
6.831113924452794e-18,DVG_1122_5587
5.919593563053553e-18,DVG_1122_5896
6.729609267997432e-17,DVG_1122_6051
5.5195856451532215e-17,DVG_1122_6100
5.919593563053553e-18,DVG_1122_6139
5.919593563053553e-18,DVG_1122_6169
5.919593563053553e-18,DVG_1122_6256
5.919593563053553e-18,DVG_1122_6755
5.919593563053553e-18,DVG_1122_6983
5.919593563053553e-18,DVG_1122_7221
2.302840385101087e-17,DVG_1122_7504
1.0700936972397387e-17,DVG_1122_7565
5.919593563053553e-18,DVG_1122_7590
5.919593563053553e-18,DVG_1122_7675
1.0732229214970268e-17,DVG_1122_7711
7.072079908695616e-17,DVG_1122_7867
5.919593563053553e-18,DVG_1122_8977
5.919593563053553e-18,DVG_1122_9072
5.919593563053553e-18,DVG_1122_9094
7.60967385321669e-17,DVG_1122_9130
5.919593563053553e-18,DVG_1122_9151
6.95721016421099e-18,DVG_1122_9204
5.919593563053553e-18,DVG_1122_9530
5.919593563053553e-18,DVG_1122_9664
7.642541113850321e-13,DVG_1127_1147
5.919593563053553e-18,DVG_1127_1372
5.919593563053553e-18,DVG_1127_1416
5.919593563053553e-18,DVG_1127_1970
9.556788193739552e-18,DVG_1127_2418
5.919593563053553e-18,DVG_1127_2662
5.919593563053553e-18,DVG_1127_2842
5.919593563053553e-18,DVG_1127_2845
5.919593563053553e-18,DVG_1127_3032
5.919593563053553e-18,DVG_1127_4399
5.919593563053553e-18,DVG_1127_4566
5.919593563053553e-18,DVG_1127_4740
5.919593563053553e-18,DVG_1127_4744
5.919593563053553e-18,DVG_1127_4841
5.919593563053553e-18,DVG_1127_5164
5.919593563053553e-18,DVG_1127_7548
5.919593563053553e-18,DVG_1127_7888
5.919593563053553e-18,DVG_1127_8041
5.919593563053553e-18,DVG_1127_8546
5.919593563053553e-18,DVG_1127_8940
5.919593563053553e-18,DVG_1127_9100
2.1557683339336488e-17,DVG_1127_9496
5.919593563053553e-18,DVG_1127_9515
1.4984147832804542e-16,DVG_1128_1133
8.49932628891605e-18,DVG_1128_1137
3.8465019743579715e-14,DVG_1128_1158
5.919593563053553e-18,DVG_1128_1163
5.919593563053553e-18,DVG_1146_3032
5.919593563053553e-18,DVG_1146_7565
5.919593563053553e-18,DVG_1146_8885
8.337720012641565e-18,DVG_1148_1163
2.2599616582520533e-17,DVG_1148_1295
5.919593563053553e-18,DVG_1148_1361
5.919593563053553e-18,DVG_1148_1885
5.919593563053553e-18,DVG_1148_3498
5.919593563053553e-18,DVG_1148_6330
5.919593563053553e-18,DVG_1148_7553
5.919593563053553e-18,DVG_1148_8094
5.919593563053553e-18,DVG_1148_9983
8.458381225789034e-15,DVG_1150_1155
1.6095237642677063e-10,DVG_1150_1158
5.919593563053553e-18,DVG_1150_1726
2.3291975027033543e-17,DVG_1150_2354
5.919593563053553e-18,DVG_1150_8023
5.919593563053553e-18,DVG_1150_8096
5.919593563053553e-18,DVG_1154_1163
5.919593563053553e-18,DVG_1154_1363
5.919593563053553e-18,DVG_1154_2512
7.477567815436051e-17,DVG_1154_7551
5.919593563053553e-18,DVG_1154_9545
2.0582902272640723e-17,DVG_1174_1192
5.919593563053553e-18,DVG_1174_1330
5.919593563053553e-18,DVG_1174_1347
5.919593563053553e-18,DVG_1174_7581
5.919593563053553e-18,DVG_1174_7685
2.0582902272640723e-17,DVG_1174_7891
2.2599616582520533e-17,DVG_1174_9207
5.919593563053553e-18,DVG_1174_9250
5.919593563053553e-18,DVG_1179_5613
5.919593563053553e-18,DVG_1179_9608
2.2599616582520533e-17,DVG_117_299
5.919593563053553e-18,DVG_117_324
6.6585685981676014e-18,DVG_1202_7562
5.919593563053553e-18,DVG_1206_1383
5.919593563053553e-18,DVG_1208_1216
5.919593563053553e-18,DVG_1208_3169
5.919593563053553e-18,DVG_1210_1705
5.919593563053553e-18,DVG_1210_9154
5.919593563053553e-18,DVG_1210_9607
5.919593563053553e-18,DVG_1217_3767
5.919593563053553e-18,DVG_1221_1398
5.919593563053553e-18,DVG_1221_1408
5.919593563053553e-18,DVG_1221_1885
5.919593563053553e-18,DVG_1221_2147
7.770582981670915e-17,DVG_1221_7551
5.919593563053553e-18,DVG_1221_9237
5.919593563053553e-18,DVG_1221_9618
1.904970745627817e-16,DVG_1224_1232
5.919593563053553e-18,DVG_1224_1234
5.919593563053553e-18,DVG_1224_1245
5.919593563053553e-18,DVG_1224_1305
5.919593563053553e-18,DVG_1224_1358
5.919593563053553e-18,DVG_1224_1606
5.919593563053553e-18,DVG_1224_1876
5.919593563053553e-18,DVG_1224_2884
5.919593563053553e-18,DVG_1224_4219
5.919593563053553e-18,DVG_1224_4809
5.919593563053553e-18,DVG_1224_7544
5.919593563053553e-18,DVG_1224_7585
5.919593563053553e-18,DVG_1224_8334
5.919593563053553e-18,DVG_1224_9137
5.919593563053553e-18,DVG_1235_7551
5.919593563053553e-18,DVG_1243_1338
5.919593563053553e-18,DVG_1247_1295
1.865092269034962e-17,DVG_1249_1270
5.919593563053553e-18,DVG_1249_1387
5.919593563053553e-18,DVG_1253_1295
1.5633553104213388e-17,DVG_1256_1363
5.919593563053553e-18,DVG_1256_9618
2.3542658729112638e-17,DVG_1270_1305
9.473929511780116e-18,DVG_1270_1315
6.649078272281719e-17,DVG_1270_1377
8.902006910093602e-18,DVG_1270_1402
5.919593563053553e-18,DVG_1270_1538
5.919593563053553e-18,DVG_1270_1641
1.5633553104213388e-17,DVG_1270_6110
5.919593563053553e-18,DVG_1270_6277
7.778587277586346e-18,DVG_1270_7508
5.919593563053553e-18,DVG_1270_8944
5.919593563053553e-18,DVG_1270_9799
5.919593563053553e-18,DVG_1272_1295
2.199106973203262e-17,DVG_1272_1643
5.919593563053553e-18,DVG_1275_1310
2.2943313435758766e-17,DVG_1280_2393
5.919593563053553e-18,DVG_1280_2690
5.919593563053553e-18,DVG_1280_9013
5.919593563053553e-18,DVG_1282_1310
5.919593563053553e-18,DVG_1282_1333
5.919593563053553e-18,DVG_1282_2395
2.0582902272640723e-17,DVG_1282_9151
5.919593563053553e-18,DVG_1284_1565
5.919593563053553e-18,DVG_1284_1641
5.919593563053553e-18,DVG_1289_1310
5.919593563053553e-18,DVG_1289_1315
5.919593563053553e-18,DVG_1289_2493
5.919593563053553e-18,DVG_1295_1398
5.919593563053553e-18,DVG_1295_2225
5.919593563053553e-18,DVG_1295_2499
7.382169240826433e-18,DVG_1308_1408
3.403367794155938e-17,DVG_1308_1678
5.919593563053553e-18,DVG_1308_2512
5.919593563053553e-18,DVG_1308_2697
5.919593563053553e-18,DVG_1308_3320
5.919593563053553e-18,DVG_1308_7551
4.003909852420052e-17,DVG_1308_8722
4.4111834766668656e-17,DVG_1308_9237
5.919593563053553e-18,DVG_1308_9983
5.919593563053553e-18,DVG_1320_1338
5.919593563053553e-18,DVG_1320_1611
5.919593563053553e-18,DVG_1320_1678
5.919593563053553e-18,DVG_1323_3086
5.919593563053553e-18,DVG_1323_9216
5.919593563053553e-18,DVG_1337_1361
5.919593563053553e-18,DVG_1337_4497
2.391426796494086e-17,DVG_1343_1358
5.919593563053553e-18,DVG_1343_9158
2.2599616582520533e-17,DVG_1350_1368
5.919593563053553e-18,DVG_1353_1358
3.3877747646299337e-15,DVG_1353_1377
5.919593563053553e-18,DVG_1353_5171
5.919593563053553e-18,DVG_1353_8165
5.919593563053553e-18,DVG_1356_2347
5.971789486886262e-18,DVG_1363_1368
5.919593563053553e-18,DVG_1363_1398
5.919593563053553e-18,DVG_1363_1400
5.919593563053553e-18,DVG_1363_1432
5.919593563053553e-18,DVG_1363_1545
5.919593563053553e-18,DVG_1363_1909
5.919593563053553e-18,DVG_1363_2354
5.919593563053553e-18,DVG_1363_3734
5.919593563053553e-18,DVG_1363_5097
5.919593563053553e-18,DVG_1363_6126
5.919593563053553e-18,DVG_1363_7592
5.919593563053553e-18,DVG_1363_8028
5.919593563053553e-18,DVG_1363_9173
2.3411380202816797e-17,DVG_1363_9230
9.495879907387068e-17,DVG_1367_1430
5.919593563053553e-18,DVG_1367_1463
5.919593563053553e-18,DVG_1367_2352
5.919593563053553e-18,DVG_1367_2840
5.919593563053553e-18,DVG_1367_6090
5.919593563053553e-18,DVG_1367_9234
5.919593563053553e-18,DVG_1367_9983
1.4037536236433148e-17,DVG_1381_1408
5.919593563053553e-18,DVG_1381_6959
5.919593563053553e-18,DVG_1381_7361
5.919593563053553e-18,DVG_1381_7560
8.08728611910746e-18,DVG_1383_1416
5.919593563053553e-18,DVG_1383_1793
5.919593563053553e-18,DVG_1383_2578
5.919593563053553e-18,DVG_1383_3288
5.919593563053553e-18,DVG_1383_4801
5.919593563053553e-18,DVG_1383_5164
2.22046219581587e-16,DVG_1383_6106
5.919593563053553e-18,DVG_1383_7588
5.919593563053553e-18,DVG_1383_8944
5.919593563053553e-18,DVG_1383_8977
5.919593563053553e-18,DVG_1383_9100
5.919593563053553e-18,DVG_1386_10276
5.919593563053553e-18,DVG_1386_10308
2.0566476310619058e-13,DVG_1386_1395
5.919593563053553e-18,DVG_1386_1523
5.919593563053553e-18,DVG_1386_1606
5.919593563053553e-18,DVG_1386_1871
5.919593563053553e-18,DVG_1386_8044
5.919593563053553e-18,DVG_1393_10283
1.478679643528368e-17,DVG_1393_1398
5.919593563053553e-18,DVG_1393_1400
2.1265729942135897e-17,DVG_1393_1408
5.919593563053553e-18,DVG_1393_1430
5.919593563053553e-18,DVG_1393_1512
2.504828626263676e-16,DVG_1411_1416
9.469727434268346e-18,DVG_1411_1426
5.919593563053553e-18,DVG_1411_1437
5.919593563053553e-18,DVG_1411_1439
5.919593563053553e-18,DVG_1411_1499
1.0234069617227558e-17,DVG_1411_1521
9.239883469079006e-15,DVG_1411_1548
1.5999552401127276e-16,DVG_1411_1565
5.919593563053553e-18,DVG_1411_1606
5.919593563053553e-18,DVG_1411_2454
1.6750746548249957e-17,DVG_1411_4323
5.919593563053553e-18,DVG_1411_9191
1.9110732540533148e-17,DVG_1419_1430
5.919593563053553e-18,DVG_1419_1611
2.3411380202816797e-17,DVG_1419_2697
5.919593563053553e-18,DVG_1419_7382
2.2034698546261118e-17,DVG_1425_1445
5.919593563053553e-18,DVG_1425_1538
5.919593563053553e-18,DVG_1425_1609
5.919593563053553e-18,DVG_1425_6225
5.919593563053553e-18,DVG_1425_8736
2.816903886696334e-16,DVG_1438_1445
2.105418048570893e-16,DVG_1438_1538
9.207533513965575e-18,DVG_1438_1618
5.919593563053553e-18,DVG_1443_1448
5.919593563053553e-18,DVG_1443_1643
5.919593563053553e-18,DVG_1443_1683
5.919593563053553e-18,DVG_1458_1512
2.0582902272640723e-17,DVG_1458_1643
5.919593563053553e-18,DVG_1458_1874
5.919593563053553e-18,DVG_1465_1548
2.550956981779961e-16,DVG_1465_1565
5.919593563053553e-18,DVG_1465_1680
8.625481258497737e-18,DVG_1465_1732
5.919593563053553e-18,DVG_1468_5563
1.0178197702752664e-17,DVG_1471_1565
5.919593563053553e-18,DVG_1471_1674
5.919593563053553e-18,DVG_1476_3724
5.919593563053553e-18,DVG_1482_1885
7.280817281912148e-18,DVG_1504_1565
2.0582902272640723e-17,DVG_1506_1512
5.919593563053553e-18,DVG_1506_1585
5.919593563053553e-18,DVG_1506_1591
5.919593563053553e-18,DVG_1506_1806
5.919593563053553e-18,DVG_1506_2737
5.919593563053553e-18,DVG_1511_1563
6.602590060111749e-17,DVG_1511_1611
5.919593563053553e-18,DVG_1511_3204
5.919593563053553e-18,DVG_1516_2067
5.919593563053553e-18,DVG_1524_1638
5.919593563053553e-18,DVG_1524_6137
5.919593563053553e-18,DVG_1526_2077
5.919593563053553e-18,DVG_1529_1638
5.919593563053553e-18,DVG_1530_1563
3.948867600099548e-17,DVG_1530_1581
5.919593563053553e-18,DVG_1532_2471
5.919593563053553e-18,DVG_1536_1611
5.919593563053553e-18,DVG_1536_1885
2.2475350893457917e-17,DVG_1548_1618
6.452333859894349e-18,DVG_1548_1638
5.919593563053553e-18,DVG_1548_1749
2.3587025388447532e-17,DVG_1548_2454
5.919593563053553e-18,DVG_1548_8428
5.919593563053553e-18,DVG_1548_9191
5.919593563053553e-18,DVG_1549_1581
3.8182279881088433e-17,DVG_1549_1591
5.919593563053553e-18,DVG_1553_2454
5.919593563053553e-18,DVG_1553_8841
5.919593563053553e-18,DVG_1554_1600
5.919593563053553e-18,DVG_1557_1594
5.919593563053553e-18,DVG_1557_1609
5.919593563053553e-18,DVG_1557_1715
5.919593563053553e-18,DVG_1557_2182
5.919593563053553e-18,DVG_1557_8747
5.919593563053553e-18,DVG_1559_1606
5.919593563053553e-18,DVG_1565_1723
5.919593563053553e-18,DVG_1565_1732
5.919593563053553e-18,DVG_1565_1777
6.220873835250986e-18,DVG_1565_1846
2.289196040897025e-17,DVG_1565_2488
7.523006666280936e-18,DVG_1568_1719
5.919593563053553e-18,DVG_1571_1609
5.919593563053553e-18,DVG_1581_1611
5.919593563053553e-18,DVG_1581_1615
5.919593563053553e-18,DVG_1581_7528
5.919593563053553e-18,DVG_1583_1618
2.391426796494086e-17,DVG_1586_1591
5.919593563053553e-18,DVG_1586_2697
5.919593563053553e-18,DVG_1592_1611
5.919593563053553e-18,DVG_1592_1885
5.919593563053553e-18,DVG_1595_1793
5.919593563053553e-18,DVG_1595_2418
5.919593563053553e-18,DVG_1595_5022
5.919593563053553e-18,DVG_1595_9587
5.919593563053553e-18,DVG_1598_1793
5.919593563053553e-18,DVG_1598_9024
3.2374797795679724e-15,DVG_1605_1618
5.919593563053553e-18,DVG_1605_4762
1.3961563005892602e-17,DVG_1624_1633
5.919593563053553e-18,DVG_1624_1652
5.919593563053553e-18,DVG_1629_1643
5.919593563053553e-18,DVG_1643_1678
8.37161539260215e-18,DVG_1643_1923
1.0061984616953251e-17,DVG_1643_2697
5.919593563053553e-18,DVG_1643_9132
5.919593563053553e-18,DVG_1647_1662
5.919593563053553e-18,DVG_1647_1981
5.919593563053553e-18,DVG_1647_2156
5.919593563053553e-18,DVG_1647_4765
5.919593563053553e-18,DVG_1666_1678
2.3852836569568997e-17,DVG_1666_1683
5.919593563053553e-18,DVG_1666_1764
5.919593563053553e-18,DVG_1666_1972
5.919593563053553e-18,DVG_1666_4321
9.169396351823818e-18,DVG_1668_1680
7.242581023533007e-17,DVG_1668_1696
1.8440674885334568e-16,DVG_1668_1705
5.919593563053553e-18,DVG_1668_1788
5.919593563053553e-18,DVG_1668_1793
5.919593563053553e-18,DVG_1668_2946
5.919593563053553e-18,DVG_1668_4323
5.801509973734975e-17,DVG_1683_1699
5.919593563053553e-18,DVG_1683_1815
5.919593563053553e-18,DVG_1686_1696
2.2314578415240885e-17,DVG_1686_1705
6.417971288323794e-17,DVG_1686_1723
5.919593563053553e-18,DVG_1686_1777
5.919593563053553e-18,DVG_1686_1793
5.919593563053553e-18,DVG_1686_1815
5.919593563053553e-18,DVG_1686_1846
5.919593563053553e-18,DVG_1686_1887
2.2599616582520533e-17,DVG_1686_1981
5.919593563053553e-18,DVG_1686_3054
5.919593563053553e-18,DVG_1689_1708
5.919593563053553e-18,DVG_1689_1715
5.919593563053553e-18,DVG_1689_1777
5.919593563053553e-18,DVG_1689_1782
5.919593563053553e-18,DVG_1689_1974
5.919593563053553e-18,DVG_1697_1780
1.2966515187008676e-17,DVG_1710_1793
5.919593563053553e-18,DVG_1711_1717
5.919593563053553e-18,DVG_1713_1719
5.919593563053553e-18,DVG_1713_1739
2.714278036551493e-17,DVG_1713_1923
5.919593563053553e-18,DVG_1715_1876
5.919593563053553e-18,DVG_1725_1730
5.919593563053553e-18,DVG_1725_1736
9.837914623902437e-18,DVG_1749_1775
5.919593563053553e-18,DVG_1749_1880
7.868256468401177e-17,DVG_1749_1972
1.015333265353932e-17,DVG_1751_1759
8.871965364606901e-17,DVG_1751_1777
5.854154924291402e-16,DVG_1751_1826
5.919593563053553e-18,DVG_1751_1833
2.3411380202816797e-17,DVG_1751_1838
5.919593563053553e-18,DVG_1751_1914
5.919593563053553e-18,DVG_1751_1974
5.919593563053553e-18,DVG_1751_6304
5.919593563053553e-18,DVG_1754_1768
5.919593563053553e-18,DVG_1754_1775
5.919593563053553e-18,DVG_1754_1780
5.919593563053553e-18,DVG_1754_3183
2.2599616582520533e-17,DVG_1763_1768
2.3852836569568997e-17,DVG_1763_1775
5.919593563053553e-18,DVG_1763_2012
5.919593563053553e-18,DVG_1769_1793
1.2225335053817684e-16,DVG_1769_1826
1.5633553104213388e-17,DVG_1769_1831
7.145809825414918e-18,DVG_1769_1838
1.1214515216758086e-17,DVG_1769_1974
2.9371975868063685e-17,DVG_1780_1806
5.919593563053553e-18,DVG_1780_1844
5.919593563053553e-18,DVG_1782_1806
5.919593563053553e-18,DVG_1787_1876
5.919593563053553e-18,DVG_1789_2158
5.919593563053553e-18,DVG_1789_3232
1.1929207537810028e-17,DVG_1793_1815
5.919593563053553e-18,DVG_1793_1846
2.0582902272640723e-17,DVG_1793_1866
5.919593563053553e-18,DVG_1793_1876
2.2812367436069172e-17,DVG_1793_2418
5.919593563053553e-18,DVG_1793_4323
5.924930118775439e-18,DVG_1793_5775
5.919593563053553e-18,DVG_1793_6463
5.919593563053553e-18,DVG_1794_5643
5.919593563053553e-18,DVG_1800_1882
6.491880124209591e-18,DVG_1800_1885
